,Id,library,also_in,Name,SMILES,raw_SMILES,inchikey,N_heavy_atoms,Murcko,Murcko_name
1425,EN300-250196,Euopen,,2-[4-(aminomethyl)phenyl]acetonitrile,NCc1ccc(CC#N)cc1,NCc1ccc(CC#N)cc1,VDAACASZHZYJJX-UHFFFAOYSA-N,11,c1ccccc1,benzene
1426,EN300-34696,Euopen,,"N'-methyl-N'-phenylethane-1,2-diamine",CN(CCN)c1ccccc1,CN(CCN)c1ccccc1,GCGMQDJOIHALPF-UHFFFAOYSA-N,11,c1ccccc1,benzene
1427,Z1263529813,Euopen,,4-(1-methylpyrrol-2-yl)butan-2-amine,CC(CCc1cccn1C)N,CC(CCc1cccn1C)N,XVKRHROYXMXJKI-UHFFFAOYSA-N,11,c1cc[nH]c1,1H-Pyrrole
1428,EN300-198303,Euopen,,"2-phenylpropane-1,3-diamine",NCC(CN)c1ccccc1,NCC(CN)c1ccccc1,JSDVLFNPSDTHGJ-UHFFFAOYSA-N,11,c1ccccc1,benzene
1429,EN300-224748,Euopen,,"2-phenylpropane-1,2-diamine",CC(CN)(c1ccccc1)N,CC(CN)(c1ccccc1)N,QWTBDURSHGHHTA-UHFFFAOYSA-N,11,c1ccccc1,benzene
1430,Z1259297355,Euopen,,(3-chloro-4-fluorophenyl)cyanamide,N#CNc(cc1)cc(Cl)c1F,N#CNc(cc1)cc(Cl)c1F,HGAQSVWYHCIVQV-UHFFFAOYSA-N,11,c1ccccc1,benzene
1431,EN300-200563,Euopen,,"1-(4-chlorophenyl)ethane-1,2-diamine",NCC(c(cc1)ccc1Cl)N,NCC(c(cc1)ccc1Cl)N,DYQPAVDDRLNLKW-UHFFFAOYSA-N,11,c1ccccc1,benzene
1432,EN300-39244,Euopen,,2-amino-2-(3-chlorophenyl)acetonitrile,NC(c1cccc(Cl)c1)C#N,NC(c1cccc(Cl)c1)C#N,MHUPYXJSGAMNFY-UHFFFAOYSA-N,11,c1ccccc1,benzene
1433,EN300-98284,Euopen,,1-ethyl-3-(trifluoromethyl)pyrazole,CCn1nc(C(F)(F)F)cc1,CCn1nc(C(F)(F)F)cc1,DMKCKVIESYGHDR-UHFFFAOYSA-N,11,c1cn[nH]c1,1H-Pyrazole
1434,EN300-80076,Euopen,,2-(6-oxopiperidin-2-yl)acetamide,NC(CC(CCC1)NC1=O)=O,NC(CC(CCC1)NC1=O)=O,IBFHIXNYFZWLDA-UHFFFAOYSA-N,11,O=C1CCCCN1,piperidin-2-one
1435,Z1333761453,Euopen,,"3-amino-1-propan-2-ylpyrrolidine-2,5-dione",CC(C)N(C(CC1N)=O)C1=O,CC(C)N(C(CC1N)=O)C1=O,PRSUKZUOODOWMP-UHFFFAOYSA-N,11,O=C1CCC(=O)N1,"pyrrolidine-2,5-dione
3,4-didehydropyrrole-2,5-dione"
1436,EN300-52144,Euopen,,N-methyl-6-oxo-1H-pyridine-3-carboxamide,CNC(C(C=C1)=CNC1=O)=O,CNC(C(C=C1)=CNC1=O)=O,NBUNJDAKVMXXEF-UHFFFAOYSA-N,11,O=c1cccc[nH]1,1H-pyridin-2-one
1437,STK932209,Euopen,,2-amino-N-(furan-2-ylmethyl)acetamide,NCC(NCc1ccco1)=O,NCC(NCc1ccco1)=O,MRXAHEGHPPJMAI-UHFFFAOYSA-N,11,c1ccoc1,furan
1438,EN300-40976,Euopen,,"5-methyl-5-propylimidazolidine-2,4-dione",CCCC(C)(C(N1)=O)NC1=O,CCCC(C)(C(N1)=O)NC1=O,PKNHTHSRIYDDOC-UHFFFAOYSA-N,11,O=C1CNC(=O)N1,"imidazolidine-2,4-dione"
1439,STL388043,Euopen,,N-pyridin-3-ylmethanesulfonamide,CS(Nc1cnccc1)(=O)=O,CS(Nc1cnccc1)(=O)=O,NLEUCCAYZNOCCR-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1440,STK529378,Euopen,,2-[(dimethylamino)methyl]pyridin-3-ol,CN(C)Cc(nccc1)c1O,CN(C)Cc(nccc1)c1O,NUMYETXZBQVFDX-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1441,EN300-52375,Euopen,,3-amino-N-cyclopentylpropanamide,NCCC(NC1CCCC1)=O,NCCC(NC1CCCC1)=O,CYRXLURCHTWKSI-UHFFFAOYSA-N,11,C1CCCC1,Cyclopentane
1442,EN300-70286,Euopen,,2-[cyclopentyl(methyl)amino]acetamide,CN(CC(N)=O)C1CCCC1,CN(CC(N)=O)C1CCCC1,UAHZKFSPRMQRTQ-UHFFFAOYSA-N,11,C1CCCC1,Cyclopentane
1443,PB33624123,Euopen,,4-cyanobenzamide,NC(c(cc1)ccc1C#N)=O,NC(c(cc1)ccc1C#N)=O,FUKWTMJZHKZKFA-UHFFFAOYSA-N,11,c1ccccc1,benzene
1444,CSC000168422,Euopen,,2-amino-N-phenylacetamide,NCC(Nc1ccccc1)=O,NCC(Nc1ccccc1)=O,QRKJNCRCYBKANP-UHFFFAOYSA-N,11,c1ccccc1,benzene
1445,CSC000235209,Euopen,,1-cyclopropyl-3-(2-methylpropyl)urea,CC(C)CNC(NC1CC1)=O,CC(C)CNC(NC1CC1)=O,YNMGFGQWWAGYNJ-UHFFFAOYSA-N,11,C1CC1,cyclopropane
1446,Z1474026106,Euopen,,2-amino-N-methylcyclohexane-1-carboxamide,CNC(C(CCCC1)C1N)=O,CNC(C(CCCC1)C1N)=O,CNTLKDRKZHDGJD-UHFFFAOYSA-N,11,C1CCCCC1,Cyclohexane
1447,EN300-07954,Euopen,,"1-(furan-2-yl)-N,N-dimethylethane-1,2-diamine",CN(C)C(CN)c1ccco1,CN(C)C(CN)c1ccco1,AZJFCUDCKGDHOQ-UHFFFAOYSA-N,11,c1ccoc1,furan
1448,PB1809445398,Euopen,,3-propan-2-yloxypyridin-2-amine,CC(C)Oc1c(N)nccc1,CC(C)Oc1c(N)nccc1,ZBQGINILKQBRSK-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1449,Z1421528240,Euopen,,2-(3-chloropyridin-2-yl)oxyethanamine,NCCOc(nccc1)c1Cl,NCCOc(nccc1)c1Cl,IIGXKLDQZNFJJA-UHFFFAOYSA-N,11,c1ccncc1,Pyridine
1450,EN300-64987,Euopen,,"N-ethyl-N-methyl-1,3-thiazolidine-4-carboxamide",CCN(C)C(C1NCSC1)=O,CCN(C)C(C1NCSC1)=O,NYTWLGQVUGEBIU-UHFFFAOYSA-N,11,C1CSCN1,"1,3-thiazolidine"
1451,Z444349870,Euopen,,N-(2-aminoethyl)thiophene-2-carboxamide,NCCNC(c1cccs1)=O,NCCNC(c1cccs1)=O,HKAFVQQLGBEDEZ-UHFFFAOYSA-N,11,c1ccsc1,thiophene
1452,EN300-210913,Euopen,DSiPoised,"5-(methoxymethyl)-1,2-oxazole-3-carboxamide",COCc1cc(C(N)=O)no1,COCc1cc(C(N)=O)no1,XJISISZPFKFZEU-UHFFFAOYSA-N,11,c1cnoc1,"1,2-oxazole"
1453,EN300-20027,Euopen,,4-phenylbutan-2-amine,CC(CCc1ccccc1)N,CC(CCc1ccccc1)N,WECUIGDEWBNQJJ-UHFFFAOYSA-N,11,c1ccccc1,benzene
1454,EN300-267683,Euopen,,"1-(4,4-difluorocyclohexyl)ethanamine",CC(C(CC1)CCC1(F)F)N,CC(C(CC1)CCC1(F)F)N,PQXBNSCUACNFMG-UHFFFAOYSA-N,11,C1CCCCC1,Cyclohexane
1455,EN300-40289,Euopen,,2-(4-methylphenyl)sulfanylethanamine,Cc(cc1)ccc1SCCN,Cc(cc1)ccc1SCCN,UICHAGDPKJUFAE-UHFFFAOYSA-N,11,c1ccccc1,benzene
1456,STL062024,Euopen,,N-[(2-chlorophenyl)methyl]ethanamine,CCNCc(cccc1)c1Cl,CCNCc(cccc1)c1Cl,QWMNTOVGKJAROU-UHFFFAOYSA-N,11,c1ccccc1,benzene
1457,EN300-314076,Euopen,,2-fluoro-N-propylaniline,CCCNc(cccc1)c1F,CCCNc(cccc1)c1F,ADMJICSNKXQZOS-UHFFFAOYSA-N,11,c1ccccc1,benzene
1458,EN300-190351,Euopen,,N-methyl-1-(2-methylsulfanylphenyl)methanamine,CNCc(cccc1)c1SC,CNCc(cccc1)c1SC,KTFPJNJKRLUABW-UHFFFAOYSA-N,11,c1ccccc1,benzene
